ID,SubModules,Level 0,Level 1,LevelID,OverlayTypeID,OverlayTypeName,ParentID,OverlayTypeValue,Red,Amber,Green,RAG,IsActive,OverlayTypeValueID,NA,ProcessNameLevelHeader,
89238,Retail Fashion Group Value Chain,01.3. Merchandising Strategy,01.3.7 Plan Intake and Exit Strategy,3686,5,Issues,0,Process,1,0,0,1. R,TRUE,4,0,Strategy and Plan,
89257,Retail Fashion Group Value Chain,01.3. Merchandising Strategy,01.3.7 Plan Intake and Exit Strategy,3686,43,Landmark Systemm,0,MFP,0,1,0,2. A,TRUE,263,0,Strategy and Plan,
89276,Retail Fashion Group Value Chain,01.3. Merchandising Strategy,01.3.7 Plan Intake and Exit Strategy,3686,43,Landmark Systemm,0,BI,0,1,0,2. A,TRUE,264,0,Strategy and Plan,
89294,Retail Fashion Group Value Chain,01.3. Merchandising Strategy,01.3.7 Plan Intake and Exit Strategy,3686,50,JDA Module,0,JDA Enterprise Planning,0,0,0,4. N/A,TRUE,327,1,Strategy and Plan,
89312,Retail Fashion Group Value Chain,01.3. Merchandising Strategy,01.3.7 Plan Intake and Exit Strategy,3686,50,JDA Module,0,Luminate Personalised Assortment,0,0,0,4. N/A,TRUE,328,1,Strategy and Plan,
89330,Retail Fashion Group Value Chain,01.3. Merchandising Strategy,01.3.7 Plan Intake and Exit Strategy,3686,50,JDA Module,0,Assortment Optimisation (Hardlines and Grocery),0,0,0,4. N/A,TRUE,329,1,Strategy and Plan,
89348,Retail Fashion Group Value Chain,01.3. Merchandising Strategy,01.3.7 Plan Intake and Exit Strategy,3686,50,JDA Module,0,Luminate Clearance Price,0,0,0,4. N/A,TRUE,331,1,Strategy and Plan,
89887,Retail Fashion Group Value Chain,04.4. Merch Plan and Manage Production,04.4.1 Monitor Trade,3649,5,Issues,0,Process,0,1,0,2. A,TRUE,4,0,Move,
89905,Retail Fashion Group Value Chain,04.4. Merch Plan and Manage Production,04.4.1 Monitor Trade,3649,50,JDA Module,0,JDA Enterprise Planning,0,0,0,4. N/A,TRUE,327,1,Move,
89923,Retail Fashion Group Value Chain,04.4. Merch Plan and Manage Production,04.4.1 Monitor Trade,3649,50,JDA Module,0,JDA Demand and Fulfillment,0,0,0,4. N/A,TRUE,333,1,Move,
89941,Retail Fashion Group Value Chain,04.4. Merch Plan and Manage Production,04.4.1 Monitor Trade,3649,50,JDA Module,0,Luminate Clearance Price,0,0,0,4. N/A,TRUE,331,1,Move,
90125,Retail Fashion Group Value Chain,04.4. Merch Plan and Manage Production,04.4.2 Action Demand,3651,5,Issues,0,Process,0,1,0,2. A,TRUE,4,0,Move,
90143,Retail Fashion Group Value Chain,04.4. Merch Plan and Manage Production,04.4.2 Action Demand,3651,50,JDA Module,0,Enterprise Supply Planner,0,0,0,4. N/A,TRUE,335,1,Move,
90161,Retail Fashion Group Value Chain,04.4. Merch Plan and Manage Production,04.4.2 Action Demand,3651,50,JDA Module,0,JDA Allocation,0,0,0,4. N/A,TRUE,334,1,Move,
